,virus,ID,accession,country,city,date
3,EBOV,20140008,KR653251,SLE,Kenema,2014-08-22
4,EBOV,20140024,KR653252,SLE,PortLoko,2014-08-20
5,EBOV,20140038,KR653267,SLE,Tonkolili,2014-08-23
6,EBOV,20140091,KR653239,SLE,WesternRural,2014-08-22
7,EBOV,20140100,KR653241,SLE,Pujehun,2014-08-24
8,EBOV,20140134,KR653227,SLE,Bombali,2014-08-26
9,EBOV,20140161,KR653265,SLE,Kailahun,2014-08-27
10,EBOV,20140174,KR653294,SLE,WesternUrban,2014-08-27
11,EBOV,20140254,KR653296,SLE,Bo,2014-08-29
12,EBOV,201403007,KP178538,LBR,?,2014-08-03
13,EBOV,20140395,KR653279,SLE,Kono,2014-09-02
14,EBOV,20140433,KR653246,SLE,Tonkolili,2014-09-03
15,EBOV,20140436,KR653287,SLE,Moyamba,2014-09-03
16,EBOV,20140489,KR653235,SLE,Kenema,2014-09-04
17,EBOV,20140517,KR653263,SLE,Kailahun,2014-09-05
18,EBOV,20140590,KR653278,SLE,Kenema,2014-09-07
19,EBOV,20140729,KR653286,SLE,Bo,2014-09-10
20,EBOV,20140872,KR653297,SLE,WesternUrban,2014-09-15
21,EBOV,20140910,KR653269,SLE,Kenema,2014-09-18
22,EBOV,20140933,KR653280,SLE,Moyamba,2014-09-16
23,EBOV,20141012,KR653244,SLE,Pujehun,2014-09-21
24,EBOV,20141043,KR653305,SLE,Moyamba,2014-09-21
25,EBOV,20141061,KR653250,SLE,Moyamba,2014-09-21
26,EBOV,20141123,KR653291,SLE,Bo,2014-09-22
27,EBOV,20141227,KR653303,SLE,Bo,2014-09-26
28,EBOV,20141232,KR653266,SLE,Tonkolili,2014-09-25
29,EBOV,20141241,KR653300,SLE,PortLoko,2014-09-24
30,EBOV,20141271,KR653261,SLE,PortLoko,2014-09-24
31,EBOV,20141280,KR653276,SLE,Kambia,2014-09-23
32,EBOV,20141282,KR653229,SLE,Kambia,2014-09-23
33,EBOV,20141288,KR653232,SLE,PortLoko,2014-09-23
34,EBOV,20141352,KR653284,SLE,Kambia,2014-09-26
35,EBOV,20141397,KR653288,SLE,Moyamba,2014-09-28
36,EBOV,20141429,KR653260,SLE,Kono,2014-09-28
37,EBOV,20141491,KR653289,SLE,Kambia,2014-10-01
38,EBOV,20141497,KR653273,SLE,Bombali,2014-10-01
39,EBOV,20141582,KR653230,SLE,Bo,2014-10-04
40,EBOV,20141643,KR653233,SLE,Pujehun,2014-10-04
41,EBOV,20141650,KR653225,SLE,Kenema,2014-10-05
42,EBOV,20141960,KR653283,SLE,Tonkolili,2014-10-09
43,EBOV,20141997,KR653293,SLE,Kono,2014-10-10
44,EBOV,20142065,KR653274,SLE,Kenema,2014-10-11
45,EBOV,20142127,KR653234,SLE,Bombali,2014-10-12
46,EBOV,20142260,KR653262,SLE,Bombali,2014-10-14
47,EBOV,20142407,KR653249,SLE,Tonkolili,2014-10-16
48,EBOV,20142417,KR653254,SLE,Bo,2014-10-19
49,EBOV,20142477,KR653255,SLE,Moyamba,2014-10-19
50,EBOV,20142551,KR653226,SLE,Koinadugu,2014-10-23
51,EBOV,20142843,KR653301,SLE,Bombali,2014-10-23
52,EBOV,20142856,KR653302,SLE,Tonkolili,2014-10-24
53,EBOV,20142895,KR653268,SLE,Koinadugu,2014-10-24
54,EBOV,20143018,KR653272,SLE,WesternUrban,2014-10-26
55,EBOV,20143031,KR653275,SLE,WesternUrban,2014-10-25
56,EBOV,20143036,KR653285,SLE,PortLoko,2014-10-24
57,EBOV,20143107,KR653247,SLE,Bombali,2014-10-25
58,EBOV,20143164,KR653277,SLE,Kenema,2014-10-27
59,EBOV,20143187,KR653298,SLE,Pujehun,2014-10-28
60,EBOV,20143317,KR653282,SLE,Bombali,2014-10-29
61,EBOV,20143360,KR653258,SLE,Kenema,2014-10-30
62,EBOV,20143415,KR653248,SLE,WesternRural,2014-10-31
63,EBOV,20143458,KR653245,SLE,Tonkolili,2014-11-01
64,EBOV,20143466,KR653304,SLE,Kenema,2014-11-01
65,EBOV,20143550,KR653228,SLE,Bombali,2014-11-01
66,EBOV,20143648,KR653253,SLE,Koinadugu,2014-11-03
